phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
apolipoprotein_a	1	93858126	93858136	1_93414383_94016839	A	{10.0: 112324.39, 11.0: 112729.55, 12.0: 385722.61, 13.0: 385.45}	2.51e-20	-	confidently	0.968569572891821	0.985561	0.970611434470649	0.978752	0.98697	1.0	1.0	0.985561	0.882919718627439	0.94363	0.994605	0.0651, 0.276, 0.03, 0.0571, 0.0356	NA, NA, -, NA, -	{10.0: 2503.32, 11.0: 7469.67, 12.0: 2494.5, 13.0: 0.51}	{10.0: 3722.8, 11.0: 613.02, 12.0: 7923.7, 13.0: 16.48}	{10.0: 734.25, 11.0: 111.39, 12.0: 1660.23, 13.0: 0.13}	{10.0: 3869.13, 11.0: 3994.19, 12.0: 12345.8, 13.0: 6.88}	{10.0: 4720.0, 11.0: 4781.33, 12.0: 17074.81, 13.0: 15.86}
c_reactive_protein	1	93858126	93858136	1_93418483_94052107	A	{10.0: 121466.19, 11.0: 121816.99, 12.0: 416502.19, 13.0: 416.63}	1.67e-11	+	not	0.0	0.16318										0.181, 0.199, 0.0298, 0.0172, 0.265	NA, NA, +, +, NA	{10.0: 2676.06, 11.0: 8069.9, 12.0: 2695.51, 13.0: 0.53}	{10.0: 4087.62, 11.0: 675.69, 12.0: 8611.08, 13.0: 19.61}	{10.0: 803.95, 11.0: 119.41, 12.0: 1832.5, 13.0: 0.14}	{10.0: 4181.86, 11.0: 4383.38, 12.0: 13483.15, 13.0: 7.61}	{10.0: 5163.91, 11.0: 5247.12, 12.0: 18687.34, 13.0: 17.63}
eosinophil_count	1	93858126	93858136	1_93413949_94050862	A	{10.0: 122999.54, 11.0: 124011.77, 12.0: 422727.56, 13.0: 423.13}	4.74e-8	+	not	0.0	0.0										0.855, 0.747, 0.0433, 0.325, 0.434	NA, NA, +, NA, NA	{10.0: 2728.29, 11.0: 8100.26, 12.0: 2706.88, 13.0: 0.57}	{10.0: 4102.33, 11.0: 681.83, 12.0: 8739.64, 13.0: 18.2}	{10.0: 830.88, 11.0: 122.46, 12.0: 1866.52, 13.0: 0.14}	{10.0: 4277.69, 11.0: 4444.47, 12.0: 13666.22, 13.0: 7.62}	{10.0: 5245.61, 11.0: 5317.64, 12.0: 19059.72, 13.0: 19.03}
eosinophil_percent	1	93858126	93858136	1_93413949_94024133	A	{10.0: 123076.83, 11.0: 123831.27, 12.0: 422843.96, 13.0: 415.94}	1.64e-8	+	not	0.0	0.0										0.795, 0.501, 0.17, 0.139, 0.607	NA, NA, NA, NA, NA	{10.0: 2724.89, 11.0: 8102.63, 12.0: 2707.91, 13.0: 0.57}	{10.0: 4107.37, 11.0: 679.82, 12.0: 8736.89, 13.0: 17.92}	{10.0: 824.9, 11.0: 121.47, 12.0: 1873.49, 13.0: 0.14}	{10.0: 4265.84, 11.0: 4441.76, 12.0: 13682.85, 13.0: 7.55}	{10.0: 5246.27, 11.0: 5319.96, 12.0: 19057.55, 13.0: 18.22}
hdl_cholesterol	1	93858126	93858136	1_93414383_94132922	A	{10.0: 112840.42, 11.0: 113420.97, 12.0: 387450.09, 13.0: 384.52}	8.86e-26	-	doubly	0.989140850135773	1.0	0.987092008284612	0.731626	0.936912	1.0	0.771028	0.944864	0.957472088592379	0.839814	0.571749	0.0442, 0.307, 0.0021, 0.0679, 0.0118	-, NA, -, NA, -	{10.0: 2525.86, 11.0: 7489.1, 12.0: 2500.53, 13.0: 0.51}	{10.0: 3718.86, 11.0: 619.99, 12.0: 7938.98, 13.0: 16.17}	{10.0: 741.26, 11.0: 114.38, 12.0: 1676.23, 13.0: 0.13}	{10.0: 3870.96, 11.0: 4015.35, 12.0: 12422.7, 13.0: 6.99}	{10.0: 4759.92, 11.0: 4805.43, 12.0: 17192.8, 13.0: 15.85}
platelet_count	1	93858126	93858136	1_93179607_94132922	A	{10.0: 123130.73, 11.0: 124182.02, 12.0: 423439.58, 13.0: 417.67}	2.29e-9	+	not	0.0	0.0										0.938, 0.661, 0.628, 0.31, 0.606	NA, NA, NA, NA, NA	{10.0: 2739.7, 11.0: 8106.82, 12.0: 2726.91, 13.0: 0.57}	{10.0: 4128.27, 11.0: 681.82, 12.0: 8747.67, 13.0: 18.24}	{10.0: 824.92, 11.0: 125.45, 12.0: 1869.49, 13.0: 0.14}	{10.0: 4310.52, 11.0: 4442.81, 12.0: 13685.1, 13.0: 7.57}	{10.0: 5255.62, 11.0: 5347.63, 12.0: 19072.5, 13.0: 18.25}
shbg	1	93858126	93858136	1_92539966_94128816	A	{10.0: 112028.6, 11.0: 112492.5, 12.0: 384417.52, 13.0: 377.38}	1.7e-11	-	not	0.0	0.0										0.0947, 0.65, 0.513, 0.159, 0.572	NA, NA, NA, NA, NA	{10.0: 2495.23, 11.0: 7428.76, 12.0: 2473.51, 13.0: 0.5}	{10.0: 3699.01, 11.0: 608.91, 12.0: 7900.04, 13.0: 16.04}	{10.0: 735.27, 11.0: 114.37, 12.0: 1668.23, 13.0: 0.13}	{10.0: 3831.07, 11.0: 3969.41, 12.0: 12304.7, 13.0: 6.82}	{10.0: 4701.3, 11.0: 4775.05, 12.0: 17039.78, 13.0: 15.87}
triglycerides	1	93858126	93858136	1_93427187_94016839	A	{10.0: 121469.88, 11.0: 122156.05, 12.0: 416887.63, 13.0: 414.44}	1.9e-10	+	not	0.0	0.0308009										0.448, 0.213, 0.0248, 0.0116, 0.143	NA, NA, +, +, NA	{10.0: 2680.02, 11.0: 8068.96, 12.0: 2708.49, 13.0: 0.53}	{10.0: 4087.71, 11.0: 680.61, 12.0: 8642.79, 13.0: 18.89}	{10.0: 805.97, 11.0: 118.36, 12.0: 1839.53, 13.0: 0.14}	{10.0: 4198.34, 11.0: 4370.35, 12.0: 13491.77, 13.0: 7.54}	{10.0: 5169.61, 11.0: 5258.4, 12.0: 18716.31, 13.0: 17.68}
urate	1	93858126	93858136	1_93414212_94132922	A	{10.0: 121394.73, 11.0: 122044.76, 12.0: 416804.12, 13.0: 418.39}	6.15e-18	+	not	0.0	0.0										0.09, 0.0789, 0.209, 0.817, 0.0444	NA, NA, NA, NA, +	{10.0: 2689.58, 11.0: 8062.39, 12.0: 2697.51, 13.0: 0.52}	{10.0: 4085.93, 11.0: 679.45, 12.0: 8636.61, 13.0: 20.01}	{10.0: 803.01, 11.0: 121.35, 12.0: 1837.5, 13.0: 0.14}	{10.0: 4198.3, 11.0: 4383.23, 12.0: 13480.93, 13.0: 7.54}	{10.0: 5163.25, 11.0: 5254.47, 12.0: 18727.41, 13.0: 16.87}
platelet_distribution_width	1	115179704	115179722	1_114750819_115882563	AAAAC	{3.0: 4958.38, 3.2: 22246.38, 3.8: 94673.61, 4.0: 548957.53, 4.2: 0.0, 4.4: 44.1}	8.28e-35	+	confidently	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.931064	0.493, 0.911, 0.773, 0.0245, 0.112	NA, NA, NA, +, NA	{3.0: 8.0, 3.2: 29.93, 3.8: 384.99, 4.0: 12596.96, 4.2: 0.0, 4.4: 554.12}	{3.0: 31.27, 3.2: 222.92, 3.8: 1288.91, 4.0: 12031.88, 4.2: 0.0, 4.4: 1.02}	{3.0: 0.0, 3.2: 3.0, 3.8: 1299.37, 4.0: 1517.62, 4.2: 0.0, 4.4: 0.01}	{3.0: 126.25, 3.2: 865.05, 3.8: 3279.94, 4.0: 18174.74, 4.2: 0.0, 4.4: 0.02}	{3.0: 198.0, 3.2: 972.78, 3.8: 4226.2, 4.0: 24288.38, 4.2: 0.0, 4.4: 8.64}
eosinophil_count	1	150552235	150552290	1_150061091_151322952	CCCCGG	{5.5: 123.34, 6.17: 0.0, 6.33: 381606.65, 7.17: 7056.06, 7.33: 100865.71, 8.33: 525.09, 9.33: 179985.69, 10.33: 0.0}	1.03e-9	+	not	0.0	0.0										0.251, 0.134, 0.235, 0.234, 0.0875	NA, NA, NA, NA, NA	{5.5: 0.16, 6.17: 0.0, 6.33: 9479.99, 7.17: 19.82, 7.33: 1712.13, 8.33: 0.46, 9.33: 2323.44, 10.33: 0.0}	{5.5: 29.48, 6.17: 0.0, 6.33: 6030.57, 7.17: 224.93, 7.33: 1049.16, 8.33: 1.61, 9.33: 6206.28, 10.33: 0.0}	{5.5: 0.41, 6.17: 0.0, 6.33: 1868.73, 7.17: 2.67, 7.33: 71.89, 8.33: 0.0, 9.33: 876.3, 10.33: 0.0}	{5.5: 2.78, 6.17: 0.0, 6.33: 12034.85, 7.17: 192.26, 7.33: 3586.34, 8.33: 17.46, 9.33: 6562.32, 10.33: 0.0}	{5.5: 12.63, 6.17: 0.0, 6.33: 16984.69, 7.17: 298.08, 7.33: 4276.51, 8.33: 26.67, 9.33: 8043.47, 10.33: 0.0}
eosinophil_percent	1	150552235	150552290	1_150061091_151222499	CCCCGG	{5.5: 124.39, 6.17: 0.0, 6.33: 381738.66, 7.17: 7097.7, 7.33: 100782.27, 8.33: 520.24, 9.33: 179905.3, 10.33: 0.0}	7.64e-11	+	not	0.0	0.0										0.223, 0.0656, 0.201, 0.559, 0.0167	NA, NA, NA, NA, +	{5.5: 0.18, 6.17: 0.0, 6.33: 9478.1, 7.17: 17.83, 7.33: 1714.7, 8.33: 0.46, 9.33: 2324.73, 10.33: 0.0}	{5.5: 28.27, 6.17: 0.0, 6.33: 6007.04, 7.17: 226.62, 7.33: 1045.7, 8.33: 1.56, 9.33: 6232.85, 10.33: 0.0}	{5.5: 0.4, 6.17: 0.0, 6.33: 1863.89, 7.17: 3.56, 7.33: 73.02, 8.33: 0.01, 9.33: 879.12, 10.33: 0.0}	{5.5: 2.63, 6.17: 0.0, 6.33: 12059.27, 7.17: 192.81, 7.33: 3573.95, 8.33: 16.88, 9.33: 6552.47, 10.33: 0.0}	{5.5: 12.57, 6.17: 0.0, 6.33: 16991.17, 7.17: 298.86, 7.33: 4277.84, 8.33: 26.72, 9.33: 8034.89, 10.33: 0.0}
mean_platelet_volume	1	150552235	150552290	1_150153389_151446975	CCCCGG	{5.5: 121.96, 6.17: 0.0, 6.33: 382307.15, 7.17: 7109.92, 7.33: 100912.44, 8.33: 520.08, 9.33: 180190.98, 10.33: 0.0}	2.65e-16	-	confidently	0.928421882512705	1.0	0.938208232006942	0.995648	0.995976	0.996008	0.995648	1.0	0.702062005218127	1.0	1.0	0.981, 0.914, 0.809, 0.867, 0.984	NA, NA, NA, NA, NA	{5.5: 0.17, 6.17: 0.0, 6.33: 9502.64, 7.17: 17.83, 7.33: 1715.39, 8.33: 0.46, 9.33: 2337.51, 10.33: 0.0}	{5.5: 30.13, 6.17: 0.0, 6.33: 6030.63, 7.17: 224.44, 7.33: 1045.61, 8.33: 1.61, 9.33: 6243.62, 10.33: 0.0}	{5.5: 0.4, 6.17: 0.0, 6.33: 1870.94, 7.17: 3.56, 7.33: 71.77, 8.33: 0.0, 9.33: 873.33, 10.33: 0.0}	{5.5: 2.8, 6.17: 0.0, 6.33: 12083.47, 7.17: 193.73, 7.33: 3581.6, 8.33: 17.35, 9.33: 6567.06, 10.33: 0.0}	{5.5: 12.6, 6.17: 0.0, 6.33: 17008.73, 7.17: 299.96, 7.33: 4287.67, 8.33: 26.66, 9.33: 8058.43, 10.33: 0.0}
neutrophil_percent	1	150552235	150552290	1_149873779_151463570	CCCCGG	{5.5: 122.61, 6.17: 0.0, 6.33: 381548.35, 7.17: 7140.98, 7.33: 100740.35, 8.33: 524.84, 9.33: 180091.43, 10.33: 0.0}	2.1e-13	-	not	0.0	0.0										0.467, 0.213, 0.228, 0.781, 0.084	NA, NA, NA, NA, NA	{5.5: 0.19, 6.17: 0.0, 6.33: 9483.96, 7.17: 17.91, 7.33: 1707.75, 8.33: 0.46, 9.33: 2325.73, 10.33: 0.0}	{5.5: 28.82, 6.17: 0.0, 6.33: 6023.69, 7.17: 221.89, 7.33: 1036.92, 8.33: 1.56, 9.33: 6229.15, 10.33: 0.0}	{5.5: 0.4, 6.17: 0.0, 6.33: 1866.89, 7.17: 3.56, 7.33: 72.77, 8.33: 0.0, 9.33: 876.38, 10.33: 0.0}	{5.5: 2.79, 6.17: 0.0, 6.33: 12040.61, 7.17: 195.49, 7.33: 3598.47, 8.33: 17.09, 9.33: 6543.56, 10.33: 0.0}	{5.5: 12.62, 6.17: 0.0, 6.33: 16986.54, 7.17: 298.91, 7.33: 4279.05, 8.33: 26.65, 9.33: 8038.28, 10.33: 0.0}
urate	1	150552235	150552290	1_150351184_151127510	CCCCGG	{5.5: 120.49, 6.17: 0.0, 6.33: 376275.44, 7.17: 6998.89, 7.33: 99420.54, 8.33: 512.97, 9.33: 177334.18, 10.33: 0.0}	5.84e-14	-	not	0.0	0.0										0.304, 0.646, 0.602, 0.271, 0.0297	NA, NA, NA, NA, -	{5.5: 0.17, 6.17: 0.0, 6.33: 9405.42, 7.17: 16.53, 7.33: 1699.46, 8.33: 0.46, 9.33: 2327.96, 10.33: 0.0}	{5.5: 29.04, 6.17: 0.0, 6.33: 5983.72, 7.17: 221.23, 7.33: 1024.04, 8.33: 1.61, 9.33: 6162.39, 10.33: 0.0}	{5.5: 0.4, 6.17: 0.0, 6.33: 1836.67, 7.17: 4.56, 7.33: 67.13, 8.33: 0.0, 9.33: 853.24, 10.33: 0.0}	{5.5: 1.45, 6.17: 0.0, 6.33: 11874.69, 7.17: 197.04, 7.33: 3528.09, 8.33: 16.19, 9.33: 6452.55, 10.33: 0.0}	{5.5: 12.76, 6.17: 0.0, 6.33: 16756.24, 7.17: 292.92, 7.33: 4186.92, 8.33: 28.13, 9.33: 7885.08, 10.33: 0.0}
mean_corpuscular_haemoglobin	1	153900068	153900118	1_153684853_154553683	AC	{11.5: 166.07, 14.5: 0.0, 15.5: 896.13, 16.5: 190.69, 17.5: 0.0, 18.5: 48892.82, 19.5: 2781.07, 20.5: 10701.5, 21.5: 125735.83, 22.5: 108744.54, 23.5: 41939.25, 24.5: 130665.06, 25.5: 121258.43, 26.5: 26464.71, 27.5: 28862.21, 28.5: 16271.09, 29.5: 6174.99, 30.5: 1565.08, 31.5: 65.8, 33.5: 0.0}	5.03e-13	+	confidently	0.965304549974041	1.0	0.991224667660737	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0991, 0.894, 0.805, 0.223, 0.0913	NA, NA, NA, NA, NA	{11.5: 0.27, 14.5: 0.0, 15.5: 9.12, 16.5: 1.85, 17.5: 0.0, 18.5: 421.49, 19.5: 316.99, 20.5: 2520.93, 21.5: 530.08, 22.5: 2292.28, 23.5: 1448.78, 24.5: 2643.59, 25.5: 1701.46, 26.5: 217.02, 27.5: 728.91, 28.5: 254.39, 29.5: 358.0, 30.5: 4.07, 31.5: 128.07, 33.5: 0.0}	{11.5: 0.36, 14.5: 0.0, 15.5: 51.19, 16.5: 5.06, 17.5: 0.0, 18.5: 268.37, 19.5: 130.72, 20.5: 903.23, 21.5: 4218.77, 22.5: 1349.26, 23.5: 1397.7, 24.5: 1610.33, 25.5: 1375.08, 26.5: 1113.01, 27.5: 694.46, 28.5: 384.87, 29.5: 62.86, 30.5: 5.22, 31.5: 12.59, 33.5: 0.0}	{11.5: 0.0, 14.5: 0.0, 15.5: 154.0, 16.5: 15.64, 17.5: 0.0, 18.5: 6.14, 19.5: 3.0, 20.5: 332.79, 21.5: 594.8, 22.5: 387.14, 23.5: 307.26, 24.5: 163.93, 25.5: 304.67, 26.5: 237.42, 27.5: 189.03, 28.5: 108.71, 29.5: 15.31, 30.5: 0.06, 31.5: 2.99, 33.5: 0.0}	{11.5: 5.89, 14.5: 0.0, 15.5: 27.8, 16.5: 1.38, 17.5: 0.0, 18.5: 1583.87, 19.5: 93.59, 20.5: 347.12, 21.5: 4112.41, 22.5: 3524.47, 23.5: 1443.63, 24.5: 4778.84, 25.5: 3738.56, 26.5: 786.01, 27.5: 958.08, 28.5: 810.28, 29.5: 204.07, 30.5: 35.98, 31.5: 1.03, 33.5: 0.0}	{11.5: 8.14, 14.5: 0.0, 15.5: 84.36, 16.5: 16.57, 17.5: 0.0, 18.5: 1838.89, 19.5: 180.25, 20.5: 525.63, 21.5: 5872.6, 22.5: 4584.04, 23.5: 2191.88, 24.5: 5974.79, 25.5: 4810.71, 26.5: 1418.14, 27.5: 1285.86, 28.5: 583.36, 29.5: 233.86, 30.5: 68.44, 31.5: 26.74, 33.5: 0.0}
mean_corpuscular_volume	1	153900068	153900118	1_153649683_154628342	AC	{11.5: 164.21, 14.5: 0.0, 15.5: 895.72, 16.5: 189.7, 17.5: 0.0, 18.5: 48854.07, 19.5: 2763.77, 20.5: 10763.72, 21.5: 125743.1, 22.5: 108695.89, 23.5: 41974.68, 24.5: 130690.42, 25.5: 121316.91, 26.5: 26416.22, 27.5: 28922.29, 28.5: 16209.2, 29.5: 6165.04, 30.5: 1551.88, 31.5: 63.61, 33.5: 0.0}	3.72e-12	+	singly	0.0	0.818436	0.0	0.786739	0.764554	0.785102	0.795275	0.753328	0.0	0.0684913	0.709738	0.0544, 0.342, 0.769, 0.314, 0.0255	NA, NA, NA, NA, +	{11.5: 0.04, 14.5: 0.0, 15.5: 9.02, 16.5: 1.87, 17.5: 0.0, 18.5: 417.88, 19.5: 319.0, 20.5: 2515.03, 21.5: 530.42, 22.5: 2299.47, 23.5: 1440.8, 24.5: 2656.59, 25.5: 1691.48, 26.5: 218.0, 27.5: 727.27, 28.5: 257.07, 29.5: 359.61, 30.5: 4.08, 31.5: 129.72, 33.5: 0.0}	{11.5: 0.36, 14.5: 0.0, 15.5: 50.49, 16.5: 5.24, 17.5: 0.0, 18.5: 270.21, 19.5: 134.71, 20.5: 908.89, 21.5: 4221.04, 22.5: 1349.29, 23.5: 1398.47, 24.5: 1601.57, 25.5: 1369.99, 26.5: 1113.45, 27.5: 695.65, 28.5: 382.54, 29.5: 63.7, 30.5: 5.23, 31.5: 12.28, 33.5: 0.0}	{11.5: 0.0, 14.5: 0.0, 15.5: 154.61, 16.5: 15.55, 17.5: 0.0, 18.5: 6.14, 19.5: 2.98, 20.5: 334.01, 21.5: 594.47, 22.5: 389.05, 23.5: 305.41, 24.5: 163.64, 25.5: 302.48, 26.5: 239.24, 27.5: 188.16, 28.5: 108.84, 29.5: 15.29, 30.5: 0.06, 31.5: 2.98, 33.5: 0.0}	{11.5: 6.3, 14.5: 0.0, 15.5: 28.96, 16.5: 1.39, 17.5: 0.0, 18.5: 1592.45, 19.5: 92.33, 20.5: 353.94, 21.5: 4096.99, 22.5: 3543.45, 23.5: 1446.9, 24.5: 4761.43, 25.5: 3745.92, 26.5: 785.59, 27.5: 953.8, 28.5: 802.56, 29.5: 204.47, 30.5: 35.54, 31.5: 1.03, 33.5: 0.0}	{11.5: 8.15, 14.5: 0.0, 15.5: 84.75, 16.5: 16.53, 17.5: 0.0, 18.5: 1837.31, 19.5: 179.21, 20.5: 525.64, 21.5: 5872.25, 22.5: 4592.11, 23.5: 2191.33, 24.5: 5976.8, 25.5: 4800.6, 26.5: 1416.85, 27.5: 1291.41, 28.5: 583.52, 29.5: 233.21, 30.5: 68.5, 31.5: 26.08, 33.5: 0.0}
platelet_count	1	204527033	204527059	1_204137031_205551691	AAT	{7.0: 21267.78, 8.0: 334043.74, 9.0: 229312.41, 10.0: 86000.54, 11.0: 559.68}	5.18e-10	-	confidently	0.958208784077543	1.0	0.928575797973046	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0327, 0.228, 0.252, 0.432, 0.0367	-, NA, NA, NA, -	{7.0: 984.34, 8.0: 7560.59, 9.0: 4882.43, 10.0: 145.55, 11.0: 1.44}	{7.0: 692.2, 8.0: 6360.48, 9.0: 5884.39, 10.0: 638.89, 11.0: 0.93}	{7.0: 14.65, 8.0: 1610.89, 9.0: 1180.56, 10.0: 13.98, 11.0: 0.02}	{7.0: 604.83, 8.0: 10988.19, 9.0: 8059.75, 10.0: 2781.93, 11.0: 11.71}	{7.0: 1028.47, 8.0: 14730.5, 9.0: 10358.56, 10.0: 3557.53, 11.0: 19.89}
platelet_crit	1	204527033	204527059	1_204137031_204720899	AAT	{7.0: 21213.62, 8.0: 334185.91, 9.0: 229078.44, 10.0: 85856.79, 11.0: 561.26}	5.76e-17	-	confidently	0.997846139645794	1.0	0.986637651167914	1.0	1.0	1.0	1.0	1.0	0.983800628197537	1.0	1.0	0.0847, 0.318, 0.295, 0.838, 0.00415	NA, NA, NA, NA, -	{7.0: 993.65, 8.0: 7555.36, 9.0: 4879.25, 10.0: 144.62, 11.0: 1.44}	{7.0: 690.07, 8.0: 6377.32, 9.0: 5871.39, 10.0: 637.15, 11.0: 0.93}	{7.0: 13.65, 8.0: 1606.99, 9.0: 1184.4, 10.0: 15.04, 11.0: 0.02}	{7.0: 609.63, 8.0: 10979.22, 9.0: 8052.77, 10.0: 2792.5, 11.0: 12.29}	{7.0: 1031.82, 8.0: 14746.91, 9.0: 10340.88, 10.0: 3555.46, 11.0: 19.88}
glucose	1	214163477	214163513	1_213870781_214380583	A	{32.0: 2889.67, 33.0: 26405.22, 34.0: 329.12, 35.0: 304879.53, 36.0: 279045.73, 37.0: 231.3, 38.0: 0.0}	1.37e-12	-	not	0.0	0.0										0.889, 0.191, 0.25, 0.0493, 0.146	NA, NA, NA, -, NA	{32.0: 4.67, 33.0: 46.64, 34.0: 1.71, 35.0: 3735.33, 36.0: 7506.52, 37.0: 1208.17, 38.0: 0.0}	{32.0: 12.99, 33.0: 375.75, 34.0: 6.52, 35.0: 7024.11, 36.0: 4864.33, 37.0: 16.54, 38.0: 0.0}	{32.0: 0.02, 33.0: 126.82, 34.0: 15.59, 35.0: 1323.82, 36.0: 1064.34, 37.0: 1.43, 38.0: 0.0}	{32.0: 124.06, 33.0: 760.39, 34.0: 8.9, 35.0: 10260.15, 36.0: 9133.73, 37.0: 5.03, 38.0: 0.0}	{32.0: 102.05, 33.0: 966.0, 34.0: 21.8, 35.0: 12627.41, 36.0: 13006.92, 37.0: 32.17, 38.0: 0.0}
glycated_haemoglobin	1	214163477	214163513	1_213560818_214412420	A	{32.0: 3098.16, 33.0: 28514.84, 34.0: 357.98, 35.0: 328273.2, 36.0: 300806.29, 37.0: 248.65, 38.0: 0.0}	3.72e-31	-	not	0.0	0.0										0.73, 0.0371, 0.675, 0.00187, 0.156	NA, -, NA, -, NA	{32.0: 4.05, 33.0: 48.9, 34.0: 2.05, 35.0: 3531.01, 36.0: 7030.35, 37.0: 1094.56, 38.0: 0.0}	{32.0: 15.03, 33.0: 397.01, 34.0: 6.91, 35.0: 7621.89, 36.0: 5240.77, 37.0: 18.63, 38.0: 0.0}	{32.0: 0.01, 33.0: 138.52, 34.0: 16.89, 35.0: 1445.38, 36.0: 1169.45, 37.0: 1.77, 38.0: 0.0}	{32.0: 140.55, 33.0: 842.9, 34.0: 9.93, 35.0: 11128.49, 36.0: 9932.01, 37.0: 6.38, 38.0: 0.0}	{32.0: 109.1, 33.0: 1050.1, 34.0: 23.19, 35.0: 13757.65, 36.0: 14184.57, 37.0: 33.76, 38.0: 0.0}
igf_1	1	214163477	214163513	1_213976097_214533356	A	{32.0: 3081.86, 33.0: 28468.62, 34.0: 355.85, 35.0: 326781.28, 36.0: 299464.77, 37.0: 246.79, 38.0: 0.0}	2.87e-15	+	confidently	0.99988377082765	1.0	0.999962299384037	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.2, 0.972, 0.343, 0.0113, 0.785	NA, NA, NA, +, NA	{32.0: 4.68, 33.0: 49.43, 34.0: 1.91, 35.0: 3974.47, 36.0: 8051.12, 37.0: 1295.53, 38.0: 0.0}	{32.0: 15.76, 33.0: 422.0, 34.0: 7.1, 35.0: 7646.63, 36.0: 5248.41, 37.0: 18.34, 38.0: 0.0}	{32.0: 0.02, 33.0: 134.01, 34.0: 16.4, 35.0: 1441.69, 36.0: 1158.04, 37.0: 1.86, 38.0: 0.0}	{32.0: 136.76, 33.0: 832.93, 34.0: 9.67, 35.0: 11090.0, 36.0: 9902.42, 37.0: 6.5, 38.0: 0.0}	{32.0: 106.31, 33.0: 1034.78, 34.0: 23.43, 35.0: 13704.62, 36.0: 14136.47, 37.0: 34.76, 38.0: 0.0}
lymphocyte_count	1	225914361	225914377	1_225739157_226087917	A	{15.0: 1252.02, 16.0: 72244.98, 17.0: 402802.91, 18.0: 193834.48, 19.0: 30.56}	4.44e-9	+	not	0.0	0.119254										0.182, 0.0797, 0.396, 0.863, 0.421	NA, NA, NA, NA, NA	{15.0: 3.18, 16.0: 126.06, 17.0: 4707.09, 18.0: 8663.21, 19.0: 36.46}	{15.0: 6.42, 16.0: 1847.64, 17.0: 7759.37, 18.0: 3927.93, 19.0: 0.68}	{15.0: 0.02, 16.0: 413.6, 17.0: 1235.84, 18.0: 1170.51, 19.0: 0.07}	{15.0: 27.45, 16.0: 2317.51, 17.0: 13057.46, 18.0: 6992.88, 19.0: 0.8}	{15.0: 45.42, 16.0: 3288.32, 17.0: 17400.83, 18.0: 8905.74, 19.0: 1.84}
mean_sphered_cell_volume	1	225914361	225914377	1_225510762_226125766	A	{15.0: 1238.03, 16.0: 71336.75, 17.0: 397552.11, 18.0: 191391.69, 19.0: 30.25}	3.63e-13	+	not	0.0	0.0										0.913, 0.375, 0.419, 0.286, 0.0261	NA, NA, NA, NA, +	{15.0: 3.12, 16.0: 124.06, 17.0: 4592.11, 18.0: 8469.99, 19.0: 36.72}	{15.0: 6.4, 16.0: 1799.75, 17.0: 7611.32, 18.0: 3843.9, 19.0: 0.67}	{15.0: 0.02, 16.0: 407.6, 17.0: 1209.03, 18.0: 1143.32, 19.0: 0.07}	{15.0: 26.78, 16.0: 2299.5, 17.0: 12821.26, 18.0: 6911.8, 19.0: 0.77}	{15.0: 43.96, 16.0: 3225.2, 17.0: 17071.26, 18.0: 8709.96, 19.0: 1.76}
platelet_count	1	225914361	225914377	1_225777044_226047159	A	{15.0: 1256.38, 16.0: 72342.06, 17.0: 403489.64, 18.0: 194054.07, 19.0: 30.87}	1.36e-9	+	singly	0.0	0.843667										0.183, 0.0188, 0.886, 0.818, 0.185	NA, +, NA, NA, NA	{15.0: 3.18, 16.0: 129.06, 17.0: 4732.28, 18.0: 8673.82, 19.0: 35.66}	{15.0: 6.27, 16.0: 1851.65, 17.0: 7789.59, 18.0: 3927.86, 19.0: 0.67}	{15.0: 0.02, 16.0: 414.65, 17.0: 1232.0, 18.0: 1173.3, 19.0: 0.07}	{15.0: 27.67, 16.0: 2335.5, 17.0: 13060.58, 18.0: 7021.56, 19.0: 0.78}	{15.0: 45.54, 16.0: 3306.28, 17.0: 17421.13, 18.0: 8919.36, 19.0: 1.84}
