phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	relation_to_gene	other_ethnicity_association_p_values	other_ethnic_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies	susie_pip_ratio_4	finemap_pip_ratio_4	finemap_pip_prior_std_0.005
red_blood_cell_count	16	67229794	67229850	16_66770531_68546668	AGC	{12.0: 0.00%, 13.0: 0.39%, 15.0: 0.00%, 16.0: 0.00%, 17.0: 0.24%, 18.0: 0.03%, 19.0: 96.60%, 20.0: 2.30%, 21.0: 0.00%, 22.0: 0.02%, 23.0: 0.10%, 24.0: 0.31%}	1.08e-13	-	CDS,three_prime_UTR:E2F4:protein_coding	0.839, 0.0171, 0.677, 0.483, 0.139	NaN, -, NaN, NaN, NaN	{12.0: 0.28%, 13.0: 0.06%, 15.0: 0.01%, 16.0: 1.99%, 17.0: 0.02%, 18.0: 0.00%, 19.0: 89.23%, 20.0: 2.99%, 21.0: 0.00%, 22.0: 4.57%, 23.0: 0.80%, 24.0: 0.05%}	{12.0: 0.01%, 13.0: 0.06%, 15.0: 0.00%, 16.0: 0.02%, 17.0: 0.00%, 18.0: 0.02%, 19.0: 98.32%, 20.0: 1.44%, 21.0: 0.05%, 22.0: 0.05%, 23.0: 0.00%, 24.0: 0.03%}	{12.0: 0.00%, 16.0: 0.00%, 17.0: 0.00%, 18.0: 0.01%, 19.0: 96.13%, 20.0: 2.11%, 21.0: 1.71%, 22.0: 0.03%, 23.0: 0.00%}	{12.0: 0.00%, 13.0: 0.24%, 15.0: 0.00%, 16.0: 0.00%, 17.0: 0.19%, 18.0: 0.02%, 19.0: 96.77%, 20.0: 2.29%, 21.0: 0.01%, 22.0: 0.00%, 23.0: 0.07%, 24.0: 0.41%}	{12.0: 0.01%, 13.0: 0.35%, 15.0: 0.00%, 16.0: 0.03%, 17.0: 0.17%, 18.0: 0.03%, 19.0: 96.14%, 20.0: 2.90%, 21.0: 0.01%, 22.0: 0.08%, 23.0: 0.08%, 24.0: 0.21%}	1.00	1.00	1.00
red_blood_cell_count	17	59450454	59450467	17_58504823_59615235	A	{12.0: 0.00%, 13.0: 81.08%, 14.0: 18.87%, 15.0: 0.04%}	5.92e-27	+	multigene;intron:RP11-332H18.5:lncRNA;intron:BCAS3:protein_coding	0.195, 0.302, 0.0381, 0.277, 0.155	NaN, NaN, +, NaN, NaN	{12.0: 1.09%, 13.0: 44.48%, 14.0: 54.43%, 15.0: 0.01%}	{12.0: 0.00%, 13.0: 68.65%, 14.0: 31.23%, 15.0: 0.12%}	{12.0: 0.00%, 13.0: 57.45%, 14.0: 42.43%, 15.0: 0.13%}	{12.0: 0.00%, 13.0: 82.02%, 14.0: 17.93%, 15.0: 0.05%}	{12.0: 0.01%, 13.0: 78.48%, 14.0: 21.45%, 15.0: 0.06%}	0.91	1.00	1.00
red_blood_cell_distribution_width	4	39923204	39923225	4_39577077_40174517	A	{21.0: 24.59%, 22.0: 63.01%, 23.0: 12.41%}	8.44e-19	-	intron:PDS5A:protein_coding	0.164, 0.172, 0.612, 0.0888, 0.666	NaN, NaN, NaN, NaN, NaN	{21.0: 7.53%, 22.0: 85.29%, 23.0: 7.17%}	{21.0: 29.65%, 22.0: 51.01%, 23.0: 19.34%}	{21.0: 23.83%, 22.0: 55.84%, 23.0: 20.33%}	{21.0: 26.77%, 22.0: 60.08%, 23.0: 13.14%}	{21.0: 25.06%, 22.0: 63.59%, 23.0: 11.34%}	1.00	0.61	0.63
red_blood_cell_distribution_width	5	53638136	53638171	5_53477365_53803062	AAT	{10.0: 0.09%, 11.0: 41.09%, 12.0: 19.03%, 13.0: 6.24%, 14.0: 17.21%, 15.0: 14.33%, 16.0: 1.75%, 17.0: 0.24%, 18.0: 0.02%}	7.23e-20	+	intron:LINC01033:lncRNA	0.266, 0.84, 0.519, 0.0612, 0.135	NaN, NaN, NaN, NaN, NaN	{10.0: 10.32%, 11.0: 13.54%, 12.0: 22.15%, 13.0: 8.45%, 14.0: 12.99%, 15.0: 28.50%, 16.0: 3.14%, 17.0: 0.69%, 18.0: 0.22%}	{10.0: 0.11%, 11.0: 32.28%, 12.0: 19.89%, 13.0: 13.10%, 14.0: 10.70%, 15.0: 15.12%, 16.0: 3.36%, 17.0: 4.37%, 18.0: 1.08%}	{10.0: 0.01%, 11.0: 0.54%, 12.0: 15.91%, 13.0: 32.25%, 14.0: 4.17%, 15.0: 26.16%, 16.0: 8.62%, 17.0: 9.22%, 18.0: 3.12%}	{10.0: 0.11%, 11.0: 41.92%, 12.0: 18.43%, 13.0: 6.27%, 14.0: 15.98%, 15.0: 15.12%, 16.0: 1.90%, 17.0: 0.25%, 18.0: 0.01%}	{10.0: 0.23%, 11.0: 41.25%, 12.0: 18.56%, 13.0: 7.03%, 14.0: 15.80%, 15.0: 14.52%, 16.0: 2.14%, 17.0: 0.42%, 18.0: 0.05%}	0.99	0.71	1.00
red_blood_cell_distribution_width	17	30469471	30469520	17_30287357_30595028	CCG	{2.67: 0.04%, 3.67: 0.01%, 6.67: 0.01%, 7.67: 0.02%, 8.67: 5.54%, 9.67: 1.72%, 10.67: 3.20%, 11.67: 17.73%, 12.67: 2.48%, 13.67: 5.56%, 14.67: 9.56%, 15.67: 16.18%, 16.67: 24.18%, 17.67: 4.83%, 18.67: 3.03%, 19.67: 1.71%, 20.67: 1.00%, 21.67: 0.21%, 22.67: 0.27%, 23.67: 1.01%, 24.67: 0.25%, 25.67: 0.70%, 26.67: 0.05%, 29.67: 0.70%}	6.57e-13	+	multigene;exon_other:AC090616.2:lncRNA;five_prime_UTR:RHOT1:protein_coding	0.834, 0.992, 0.0989, 0.527, 0.0235	NaN, NaN, NaN, NaN, +	{2.67: 0.02%, 3.67: 0.00%, 6.67: 8.98%, 7.67: 1.40%, 8.67: 1.91%, 9.67: 23.47%, 10.67: 1.11%, 11.67: 20.23%, 12.67: 1.45%, 13.67: 2.94%, 14.67: 9.89%, 15.67: 19.86%, 16.67: 4.92%, 17.67: 1.43%, 18.67: 0.52%, 19.67: 0.14%, 20.67: 1.03%, 21.67: 0.31%, 22.67: 0.03%, 23.67: 0.16%, 24.67: 0.03%, 25.67: 0.10%, 26.67: 0.00%, 29.67: 0.06%}	{2.67: 0.01%, 3.67: 0.02%, 6.67: 0.02%, 7.67: 0.19%, 8.67: 9.72%, 9.67: 1.67%, 10.67: 2.09%, 11.67: 24.87%, 12.67: 5.39%, 13.67: 5.58%, 14.67: 8.71%, 15.67: 19.09%, 16.67: 12.68%, 17.67: 3.07%, 18.67: 2.78%, 19.67: 0.79%, 20.67: 0.70%, 21.67: 0.16%, 22.67: 0.75%, 23.67: 0.61%, 24.67: 0.02%, 25.67: 0.80%, 26.67: 0.02%, 29.67: 0.25%}	{2.67: 0.00%, 3.67: 0.00%, 6.67: 0.01%, 7.67: 0.01%, 8.67: 13.50%, 9.67: 1.57%, 10.67: 0.19%, 11.67: 15.35%, 12.67: 0.93%, 13.67: 1.21%, 14.67: 2.41%, 15.67: 37.40%, 16.67: 20.25%, 17.67: 0.95%, 18.67: 4.08%, 19.67: 0.41%, 20.67: 1.29%, 21.67: 0.22%, 22.67: 0.00%, 23.67: 0.16%, 24.67: 0.02%, 25.67: 0.02%, 29.67: 0.01%}	{2.67: 0.03%, 3.67: 0.01%, 6.67: 0.02%, 7.67: 0.02%, 8.67: 6.67%, 9.67: 2.19%, 10.67: 2.95%, 11.67: 17.62%, 12.67: 2.70%, 13.67: 5.98%, 14.67: 8.03%, 15.67: 15.54%, 16.67: 24.75%, 17.67: 4.41%, 18.67: 3.22%, 19.67: 1.77%, 20.67: 0.87%, 21.67: 0.19%, 22.67: 0.23%, 23.67: 1.27%, 24.67: 0.30%, 25.67: 0.66%, 26.67: 0.03%, 29.67: 0.55%}	{2.67: 0.13%, 3.67: 0.02%, 6.67: 0.05%, 7.67: 0.05%, 8.67: 6.52%, 9.67: 2.36%, 10.67: 2.67%, 11.67: 17.49%, 12.67: 2.23%, 13.67: 5.81%, 14.67: 9.63%, 15.67: 17.32%, 16.67: 21.86%, 17.67: 4.43%, 18.67: 3.34%, 19.67: 1.79%, 20.67: 0.97%, 21.67: 0.31%, 22.67: 0.32%, 23.67: 1.08%, 24.67: 0.19%, 25.67: 0.85%, 26.67: 0.02%, 29.67: 0.54%}	1.00	0.93	1.00
red_blood_cell_distribution_width	19	16240964	16240975	19_16092834_16373973	A	{11.0: 14.13%, 12.0: 67.18%, 13.0: 18.68%, 14.0: 0.01%}	2.66e-16	+	multigene;intron:RAB8A:protein_coding;intron:CTD-2231E14.8:lncRNA	0.21, 0.819, 0.98, 0.104, 0.00697	NaN, NaN, NaN, NaN, +	{11.0: 10.30%, 12.0: 78.97%, 13.0: 10.72%, 14.0: 0.01%}	{11.0: 19.71%, 12.0: 64.81%, 13.0: 15.47%, 14.0: 0.01%}	{11.0: 29.43%, 12.0: 67.41%, 13.0: 3.16%, 14.0: 0.00%}	{11.0: 13.24%, 12.0: 67.28%, 13.0: 19.48%, 14.0: 0.00%}	{11.0: 13.74%, 12.0: 66.98%, 13.0: 19.27%, 14.0: 0.01%}	1.00	1.00	1.00
shbg	1	23817932	23817947	1_23477620_23955827	A	{13.0: 4.29%, 14.0: 70.82%, 15.0: 16.62%, 16.0: 8.01%, 17.0: 0.26%}	9.16e-17	-	intergenic	0.649, 0.285, 0.338, 0.132, 0.0571	NaN, NaN, NaN, NaN, NaN	{13.0: 7.42%, 14.0: 15.50%, 15.0: 53.36%, 16.0: 23.60%, 17.0: 0.12%}	{13.0: 2.50%, 14.0: 56.44%, 15.0: 30.30%, 16.0: 8.87%, 17.0: 1.88%}	{13.0: 0.04%, 14.0: 55.72%, 15.0: 31.66%, 16.0: 12.12%, 17.0: 0.46%}	{13.0: 3.70%, 14.0: 70.33%, 15.0: 16.96%, 16.0: 8.76%, 17.0: 0.25%}	{13.0: 5.60%, 14.0: 69.89%, 15.0: 16.33%, 16.0: 7.80%, 17.0: 0.38%}	0.98	1.00	1.00
shbg	2	27673819	27673833	2_26838926_28685600	A	{14.0: 5.15%, 15.0: 56.88%, 16.0: 37.52%, 17.0: 0.08%, 19.0: 0.38%}	3.65e-11	+	intron:IFT172:protein_coding	0.37, 0.242, 0.213, 0.702, 0.018	NaN, NaN, NaN, NaN, +	{14.0: 14.76%, 15.0: 15.97%, 16.0: 46.06%, 17.0: 23.16%, 19.0: 0.06%}	{14.0: 5.60%, 15.0: 55.26%, 16.0: 39.02%, 17.0: 0.13%}	{14.0: 0.08%, 15.0: 83.42%, 16.0: 16.50%, 17.0: 0.00%}	{14.0: 5.91%, 15.0: 57.82%, 16.0: 36.01%, 17.0: 0.04%, 19.0: 0.22%}	{14.0: 5.20%, 15.0: 59.21%, 16.0: 34.98%, 17.0: 0.25%, 19.0: 0.36%}	0.00	0.61	0.00
shbg	2	208453453	208453466	2_208246637_208659400	A	{12.0: 45.44%, 13.0: 36.43%, 14.0: 0.10%, 15.0: 18.03%, 16.0: 0.00%}	2.87e-16	+	multigene;intron:METTL21A:protein_coding;intron:CREB1:protein_coding	0.25, 0.0881, 0.808, 0.011, 0.589	NaN, NaN, NaN, +, NaN	{12.0: 7.08%, 13.0: 54.71%, 14.0: 25.58%, 15.0: 12.45%, 16.0: 0.17%}	{12.0: 41.03%, 13.0: 50.29%, 14.0: 0.21%, 15.0: 8.47%, 16.0: 0.00%}	{12.0: 61.00%, 13.0: 38.73%, 14.0: 0.11%, 15.0: 0.16%}	{12.0: 43.10%, 13.0: 40.43%, 14.0: 0.07%, 15.0: 16.39%, 16.0: 0.00%}	{12.0: 46.13%, 13.0: 34.59%, 14.0: 0.26%, 15.0: 19.02%, 16.0: 0.00%}	0.74	0.97	1.00
shbg	8	59395436	59395476	8_59139485_59692885	AC	{14.5: 4.64%, 15.5: 19.32%, 16.5: 0.17%, 17.5: 8.62%, 18.5: 30.72%, 19.5: 1.47%, 20.5: 31.20%, 21.5: 1.32%, 22.5: 2.31%, 23.5: 0.22%, 24.5: 0.01%}	1.09e-26	-	intergenic	0.0929, 0.514, 0.0253, 0.352, 0.0497	NaN, NaN, -, NaN, -	{14.5: 19.05%, 15.5: 29.39%, 16.5: 0.03%, 17.5: 3.16%, 18.5: 22.34%, 19.5: 0.27%, 20.5: 7.76%, 21.5: 6.13%, 22.5: 11.81%, 23.5: 0.05%, 24.5: 0.01%}	{14.5: 3.20%, 15.5: 14.68%, 16.5: 0.40%, 17.5: 1.73%, 18.5: 35.63%, 19.5: 1.30%, 20.5: 30.99%, 21.5: 3.93%, 22.5: 7.53%, 23.5: 0.55%, 24.5: 0.06%}	{14.5: 12.40%, 15.5: 16.27%, 16.5: 0.00%, 17.5: 0.31%, 18.5: 27.07%, 19.5: 0.26%, 20.5: 22.56%, 21.5: 10.39%, 22.5: 7.17%, 23.5: 1.29%, 24.5: 2.27%}	{14.5: 4.21%, 15.5: 18.51%, 16.5: 0.14%, 17.5: 9.81%, 18.5: 32.14%, 19.5: 1.42%, 20.5: 30.14%, 21.5: 1.03%, 22.5: 2.43%, 23.5: 0.19%, 24.5: 0.00%}	{14.5: 5.15%, 15.5: 20.27%, 16.5: 0.43%, 17.5: 8.43%, 18.5: 28.04%, 19.5: 1.17%, 20.5: 32.17%, 21.5: 1.62%, 22.5: 2.46%, 23.5: 0.26%, 24.5: 0.01%}	1.00	1.00	1.00
shbg	20	32971954	32971973	20_31946598_33960773	A	{19.0: 30.19%, 20.0: 25.69%, 21.0: 43.90%, 22.0: 0.02%, 23.0: 0.21%}	6.37e-15	-	multigene;exon_other:Y_RNA:misc_RNA;intron:ITCH:protein_coding	0.353, 0.703, 0.331, 0.743, 0.055	NaN, NaN, NaN, NaN, NaN	{19.0: 6.43%, 20.0: 76.05%, 21.0: 17.37%, 22.0: 0.15%, 23.0: 0.00%}	{19.0: 18.19%, 20.0: 43.24%, 21.0: 38.51%, 22.0: 0.05%, 23.0: 0.01%}	{19.0: 40.50%, 20.0: 38.19%, 21.0: 21.29%, 22.0: 0.01%}	{19.0: 29.88%, 20.0: 28.64%, 21.0: 41.00%, 22.0: 0.01%, 23.0: 0.47%}	{19.0: 31.08%, 20.0: 23.46%, 21.0: 45.23%, 22.0: 0.03%, 23.0: 0.20%}	0.83	0.81	0.96
total_bilirubin	3	170727702	170727740	3_170424098_170886547	AC	{16.5: 0.15%, 17.5: 9.81%, 18.5: 3.43%, 19.5: 55.50%, 20.5: 15.68%, 21.5: 11.95%, 22.5: 2.79%, 23.5: 0.69%}	8.08e-18	-	multigene;intron:SLC2A2:protein_coding;intron:RP11-114D6.2:lncRNA	0.866, 0.0404, 0.267, 0.0736, 0.0836	NaN, -, NaN, NaN, NaN	{16.5: 0.01%, 17.5: 33.66%, 18.5: 10.17%, 19.5: 38.30%, 20.5: 4.66%, 21.5: 7.40%, 22.5: 4.93%, 23.5: 0.87%}	{16.5: 0.16%, 17.5: 15.50%, 18.5: 1.08%, 19.5: 63.70%, 20.5: 8.37%, 21.5: 5.62%, 22.5: 5.11%, 23.5: 0.46%}	{16.5: 0.03%, 17.5: 0.86%, 18.5: 0.88%, 19.5: 70.40%, 20.5: 6.56%, 21.5: 9.29%, 22.5: 11.84%, 23.5: 0.13%}	{16.5: 0.24%, 17.5: 9.04%, 18.5: 2.84%, 19.5: 54.70%, 20.5: 17.05%, 21.5: 12.42%, 22.5: 2.99%, 23.5: 0.72%}	{16.5: 0.15%, 17.5: 11.34%, 18.5: 3.68%, 19.5: 53.87%, 20.5: 16.05%, 21.5: 11.62%, 22.5: 2.69%, 23.5: 0.59%}	0.00	0.67	1.00
total_protein	5	127349899	127349909	5_127220966_127687880	A	{11.0: 73.21%, 12.0: 26.54%, 13.0: 0.25%}	4.62e-16	-	intron:LINC01184:lncRNA	0.154, 0.49, 0.00493, 0.245, 0.0677	NaN, NaN, -, NaN, NaN	{11.0: 96.51%, 12.0: 3.47%, 13.0: 0.02%}	{11.0: 68.50%, 12.0: 31.24%, 13.0: 0.26%}	{11.0: 59.21%, 12.0: 40.79%, 13.0: 0.00%}	{11.0: 72.23%, 12.0: 27.61%, 13.0: 0.15%}	{11.0: 74.22%, 12.0: 25.58%, 13.0: 0.20%}	0.80	0.94	1.00
total_protein	12	12878680	12878694	12_12747484_13017751	A	{13.0: 0.12%, 14.0: 30.50%, 15.0: 18.95%, 16.0: 49.32%, 17.0: 1.12%}	7.18e-13	-	intergenic	0.665, 0.464, 0.769, 0.0644, 0.948	NaN, NaN, NaN, NaN, NaN	{13.0: 0.25%, 14.0: 24.79%, 15.0: 49.92%, 16.0: 22.80%, 17.0: 2.24%}	{13.0: 0.16%, 14.0: 28.78%, 15.0: 18.78%, 16.0: 51.69%, 17.0: 0.59%}	{13.0: 0.12%, 14.0: 47.71%, 15.0: 4.95%, 16.0: 46.97%, 17.0: 0.25%}	{13.0: 0.11%, 14.0: 32.74%, 15.0: 19.11%, 16.0: 46.80%, 17.0: 1.23%}	{13.0: 0.08%, 14.0: 28.83%, 15.0: 19.35%, 16.0: 50.52%, 17.0: 1.23%}	0.89	0.94	0.99
triglycerides	3	135916825	135916841	3_135495043_136802064	A	{15.0: 0.11%, 16.0: 33.84%, 17.0: 42.18%, 18.0: 9.24%, 19.0: 14.58%, 20.0: 0.04%, 23.0: 0.00%}	3.25e-27	-	intergenic	0.997, 0.499, 0.564, 0.0884, 0.0736	NaN, NaN, NaN, NaN, NaN	{15.0: 2.56%, 16.0: 41.25%, 17.0: 26.57%, 18.0: 17.34%, 19.0: 8.52%, 20.0: 0.64%, 23.0: 3.13%}	{15.0: 0.02%, 16.0: 34.35%, 17.0: 41.58%, 18.0: 9.96%, 19.0: 14.06%, 20.0: 0.03%, 23.0: 0.00%}	{15.0: 0.06%, 16.0: 0.80%, 17.0: 77.11%, 18.0: 21.02%, 19.0: 1.01%, 20.0: 0.00%, 23.0: 0.00%}	{15.0: 0.10%, 16.0: 34.66%, 17.0: 40.66%, 18.0: 10.66%, 19.0: 13.90%, 20.0: 0.03%, 23.0: 0.00%}	{15.0: 0.18%, 16.0: 32.44%, 17.0: 43.43%, 18.0: 8.93%, 19.0: 14.91%, 20.0: 0.08%, 23.0: 0.02%}	0.89	0.93	1.00
urate	3	141764455	141764473	3_141441096_142021986	A	{14.0: 2.64%, 17.0: 78.59%, 18.0: 0.06%, 19.0: 18.71%}	1.77e-25	-	intron:TFDP2:protein_coding	0.769, 0.194, 0.935, 0.00319, 0.0267	NaN, NaN, NaN, -, -	{14.0: 0.29%, 17.0: 95.87%, 18.0: 1.93%, 19.0: 1.92%}	{14.0: 1.10%, 17.0: 82.15%, 18.0: 0.06%, 19.0: 16.69%}	{14.0: 1.35%, 17.0: 79.47%, 18.0: 0.00%, 19.0: 19.17%}	{14.0: 3.77%, 17.0: 77.69%, 18.0: 0.03%, 19.0: 18.51%}	{14.0: 2.92%, 17.0: 78.98%, 18.0: 0.08%, 19.0: 18.02%}	1.00	0.98	1.00
urate	17	59450454	59450467	17_59323945_59623009	A	{12.0: 0.00%, 13.0: 81.10%, 14.0: 18.86%, 15.0: 0.04%}	3.88e-18	-	multigene;intron:RP11-332H18.5:lncRNA;intron:BCAS3:protein_coding	0.107, 0.279, 0.136, 0.0143, 0.197	NaN, NaN, NaN, -, NaN	{12.0: 1.05%, 13.0: 44.27%, 14.0: 54.68%, 15.0: 0.01%}	{12.0: 0.00%, 13.0: 68.80%, 14.0: 31.09%, 15.0: 0.12%}	{12.0: 0.00%, 13.0: 57.65%, 14.0: 42.22%, 15.0: 0.13%}	{12.0: 0.00%, 13.0: 81.94%, 14.0: 18.02%, 15.0: 0.05%}	{12.0: 0.01%, 13.0: 78.52%, 14.0: 21.41%, 15.0: 0.05%}	0.43	0.79	0.90
white_blood_cell_count	2	12933992	12934006	2_12721301_13133754	A	{13.0: 0.00%, 14.0: 44.10%, 15.0: 43.62%, 16.0: 12.28%}	5.96e-18	-	intron:AC064875.2:lncRNA	0.571, 0.894, 0.735, 0.965, 0.032	NaN, NaN, NaN, NaN, -	{13.0: 0.00%, 14.0: 23.10%, 15.0: 68.43%, 16.0: 8.47%}	{13.0: 0.01%, 14.0: 56.29%, 15.0: 37.14%, 16.0: 6.56%}	{13.0: 0.00%, 14.0: 84.46%, 15.0: 14.95%, 16.0: 0.59%}	{13.0: 0.00%, 14.0: 43.94%, 15.0: 43.64%, 16.0: 12.41%}	{13.0: 0.00%, 14.0: 45.21%, 15.0: 42.53%, 16.0: 12.26%}	0.50	0.59	0.95
white_blood_cell_count	3	136168743	136168760	3_136043742_136320788	A	{18.0: 74.88%, 19.0: 17.37%, 20.0: 7.75%}	8.10e-12	-	intron:STAG1:protein_coding	0.714, 0.446, 0.0228, 0.178, 0.118	NaN, NaN, -, NaN, NaN	{18.0: 52.52%, 19.0: 44.71%, 20.0: 2.77%}	{18.0: 82.40%, 19.0: 16.66%, 20.0: 0.94%}	{18.0: 97.89%, 19.0: 1.96%, 20.0: 0.15%}	{18.0: 75.53%, 19.0: 17.41%, 20.0: 7.07%}	{18.0: 75.56%, 19.0: 16.79%, 20.0: 7.65%}	1.00	1.00	1.00
white_blood_cell_count	10	44885784	44885799	10_44733868_45016519	A	{15.0: 0.00%, 16.0: 18.23%, 17.0: 31.57%, 18.0: 40.49%, 19.0: 9.69%, 20.0: 0.02%}	4.58e-19	-	intergenic	0.405, 0.0562, 0.573, 0.907, 0.575	NaN, NaN, NaN, NaN, NaN	{15.0: 2.19%, 16.0: 38.46%, 17.0: 16.77%, 18.0: 39.38%, 19.0: 3.20%, 20.0: 0.00%}	{15.0: 0.01%, 16.0: 19.99%, 17.0: 33.85%, 18.0: 31.54%, 19.0: 14.60%, 20.0: 0.00%}	{15.0: 0.01%, 16.0: 18.64%, 17.0: 15.46%, 18.0: 43.83%, 19.0: 22.07%, 20.0: 0.00%}	{15.0: 0.01%, 16.0: 18.89%, 17.0: 30.98%, 18.0: 40.51%, 19.0: 9.59%, 20.0: 0.02%}	{15.0: 0.00%, 16.0: 16.92%, 17.0: 31.72%, 18.0: 42.65%, 19.0: 8.69%, 20.0: 0.02%}	1.00	0.93	1.00
